,Case ID,Trade Name,Legal Name,Address,City,State,Zip Code,NAICS,NAICS Description,Total Case Violations
0,1419159,Tokyo Steak House,Great River Group Inc.,"41-40 Union Street, Suite 5N",Flushing,NY,11355,722110,Full-Service Restaurants,6
4,1479980,"GO SCORES  WEST ENTERTAINMENT ,INC","GO SCORES WEST ENTERTAINMENT ,INC",533 and 535 West 27 th street,New York,NY,10001,722110,Full-Service Restaurants,8
6,1489141,Caffe Swish,,2953-55 Broadway,New York,NY,10025,722110,Full-Service Restaurants,46
12,1496162,Divine Bar Corp,Divine Bar Corp,244 East 51st Street,New York,NY,10022,722110,Full-Service Restaurants,0
13,1499002,Mr. Chow Restaurant,T C Ventures Inc.,324 East 57th Street,New York,NY,10022,722110,Full-Service Restaurants,54
14,1499164,"PINNACLE , LE  CAFE",PINNACLE BAGEL & BAKERY CORP,725 Third Avenue,New York,NY,10017,722110,Full-Service Restaurants,7
15,1500460,Wai Cafe,Wai ? Cafe Inc.,201 1 St Avenue,New York,NY,10003,722110,Full-Service Restaurants,5
16,1501015,LeBernardin Restaurant,"Le Bernardin, Inc",155 West 51st Street,New York,NY,10019,722110,Full-Service Restaurants,0
18,1502600,Monahan & Fitzgerald,241-15/17 41 Ave Corp,214-17 41 Ave,Bayside,NY,11361,722110,Full-Service Restaurants,4
19,1502711,Sushi Tatsu,Sushi Tatsu Japanese Restaurant Inc.,347 Flatbush Ave.,Brooklyn,NY,11238,722110,Full-Service Restaurants,9
20,1502901,Cabana Midtown - #1,"Cabana Midtown, LLc",1022 3rd Ave,New York,NY,10021,722110,Full-Service Restaurants,7
21,1503013,Gigino Trattoria,Gigino Inc.,323 Greenwich Street,New York,NY,10013,722110,Full-Service Restaurants,5
35,1507837,IL Vagabondo Restaurant Corp.,Il Vagabondo Restaurant Corp.,351 East 62nd Street,New York,NY,10021,722110,Full-Service Restaurants,4
39,1510312,Green Cactus of Garden City Park,City Park Inc.,2441 Jericho Turnpike,New Hyde Park,NY,11040,722110,Full-Service Restaurants,0
41,1510473,Go Restaurant,Saki Restaurant Corp.,30 St. Marks Place,New York,NY,10003,722110,Full-Service Restaurants,32
44,1513428,Cafe Frida,Ixhel Corporation,368 Columbus Avenue,New York,NY,10024,722110,Full-Service Restaurants,10
47,1514419,Mama Theresa,"Nocera Restaurant, Inc.",2421 Jericho Turnpike,New Hyde Park,NY,11040,722110,Full-Service Restaurants,3
49,1515184,Kelley & Ping,Pinkel Associates Ltd.,127 Greene Street,New York,NY,10012,722110,Full-Service Restaurants,24
51,1515342,Megu Restaurant,"Food Scope, LLC",62 Thomas Street,New York,NY,10013,722110,Full-Service Restaurants,0
52,1515394,Tommaso Restaurant,Thomas Caterers Inc.,1464 86th Street,Brooklyn,NY,11228,722110,Full-Service Restaurants,4
59,1516178,Ocean Jewels Restaurant,Ocean Jewels Seafood Restaurant Corp.,133-30 39th Ave,Flushing,NY,11354,722110,Full-Service Restaurants,38
60,1518031,Indo Munch,Mulloli Inc.,182 Lexington Ave,New York,NY,10016,722110,Full-Service Restaurants,0
69,1522526,La Belle Vie Restaurant,Trois Canards Ltd.,184 8th Ave Frnt 1,New York,NY,10011,722110,Full-Service Restaurants,2
70,1522716,LAL. Chicken  and Donut Management,LAL Chicken and Donuts Mgmt Inc.,2730 Frederick Douglas Blvd,New York,NY,10039,722110,Full-Service Restaurants,2
77,1525399,P J Hanleys,P J Hanleys Corp,449 Court St,Brooklyn,NY,11231,722110,Full-Service Restaurants,4
78,1526124,Sushi Tatsu II Japanese Restaurant,Sushi Tatsu II Japanese Restaurant Inc.,609 Franklin Avenue,Brooklyn,NY,11216,722110,Full-Service Restaurants,5
82,1529718,Wai Cafe,"Wai ? Cafe Ave of Americas, Inc.",583 Sixth Avenue,New York,NY,10011,722110,Full-Service Restaurants,0
87,1532516,Dallas BBQ,49th Broadway LLC,241 W. 42nd Street,New York,NY,10036,722110,Full-Service Restaurants,0
93,1534153,Suki Sushi Inc.,Suki Sushi Inc.,631 5th Ave,Brooklyn,NY,11220,722110,Full-Service Restaurants,2
94,1534215,Lansky's Operating Corporation,Lansky's Operating Corporation,235 Columbus Avenue,New York,NY,10023,722110,Full-Service Restaurants,38
95,1534764,Angelo Restaurant,"Angelo's Continental Cuisine Cafe, Inc.",9558  Roosevelt Avenue,Jackson Heights,NY,11372,722110,Full-Service Restaurants,4
97,1536139,One 83 Restaurant,MBFO4 LTD.,1608 First Ave,New York,NY,10028,722110,Full-Service Restaurants,21
100,1537221,Rancho Jubilee,Rancho Jubilee Restaurant Inc.,1 Nagle Ave,New York,NY,10040,722110,Full-Service Restaurants,8
101,1537291,Hispaniola,El Generalisimo Restaurant Inc.,839 W 181St,New York,NY,10033,722110,Full-Service Restaurants,5
105,1538800,La Tavernetta EUROPA,La Tavernetta EUROPA,100-05 Metropolitan Ave,Forest Hills,NY,11375,722110,Full-Service Restaurants,12
107,1539188,Yamato Restaurant,"LFR COURT FOOD CO, INC",168 7th Ave,Brooklyn,NY,11215,722110,Full-Service Restaurants,0
114,1539793,Miyako Sushi Japanese Restaurant,Miyako Sushi Corp,642 Amsterdam Ave,New York,NY,10025,722110,Full-Service Restaurants,9
115,1539795,Maple Asian Fusion Restaurant,Ruolan Shanghai Corp,1367 First Avenue (betwn 73 &74 st),New York,NY,10021,722110,Full-Service Restaurants,0
116,1540191,El Anzuelo Fino,El Anzuelo Fino Corp,8601 Northern Blvd.,Jackson Heights,NY,11372,722110,Full-Service Restaurants,1
117,1540809,Sachi,Shoichi Corp.,1350 Madison Ave,New York,NY,10028,722110,Full-Service Restaurants,6
124,1544208,Le Refuge Restaurant,"166 East 82nd Street Bistro, Inc.",166 E 82nd Street,New York,NY,10028,722110,Full-Service Restaurants,16
126,1544239,Sharaku,"Sharaku, Inc.",14 Stuyvesant Street,New York,NY,10003,722110,Full-Service Restaurants,20
131,1545635,The Pearl Room,8201 The Pearl Room Inc.,8201 Third Ave,Brooklyn,NY,11209,722110,Full-Service Restaurants,3
132,1546084,Woo Chon Restaurant,Orion 36 St Corp.,8 W. 36 Street,New York,NY,10018,722110,Full-Service Restaurants,7
134,1546752,P.S. 450 Restaurant,Vig Park Inc.,450 Park Ave South,New York,NY,10016,722110,Full-Service Restaurants,10
135,1546764,Hummus Place,E.D.O Food II. LLC,99 MacDougal St.,New York,NY,10012,722110,Full-Service Restaurants,6
136,1546765,Hummus Place,"E.D.O Food, LLC",109 Saint Marks Place,New York,NY,10009,722110,Full-Service Restaurants,11
137,1546766,Hummus Place,"E.D.O Food III, LLC",7th Avenue South,New York,NY,10014,722110,Full-Service Restaurants,7
138,1547106,Astoria Island,Astoria Island Inc,3515 36th Street,Astoria,NY,11106,722110,Full-Service Restaurants,2
140,1547969,WoK to Walk,Wok to Walk LLC,106 University Pl,New York,NY,10003,722110,Full-Service Restaurants,4
146,1550612,New Chinese Garden of Guyana,New Chinese Garden of Guyana Restaurant Corp.,109-10 Liberty Ave,South Richmond Hill,NY,11419,722110,Full-Service Restaurants,6
147,1551796,Murano Ristorante,Five 'M' Corp,207 W. 36th Street,New York,NY,10018,722110,Full-Service Restaurants,6
148,1551797,Arno Ristorante,Balarini Restaurant Corp,141 West 38th Street,New York,NY,10018,722110,Full-Service Restaurants,10
149,1551924,Delmonico's Restaurant,Ocinomled LTD,56 Beaver Street,New York,NY,10004,722110,Full-Service Restaurants,20
150,1551925,Scaletta Ristorante,50/50 Restaurant Corp,50 W. 77th Street,New York,NY,10024,722110,Full-Service Restaurants,19
155,1554834,Boucarou Lounge,Le Cave LLC,64 East 1st Street,New York,NY,10011,722110,Full-Service Restaurants,9
156,1554895,Chimichurri Grill,"MDDCAR, Corp.",609 9th Ave,New York,NY,10036,722110,Full-Service Restaurants,6
157,1555238,Macelleria Restaurant Inc.,Macelleria Restaurant Inc.,48 Gansevoort Street,New York,NY,10014,722110,Full-Service Restaurants,48
161,1556433,TOPS ON THE WATERFRONT INC.,,89 N 6th Street,Brooklyn,NY,11211,722110,Full-Service Restaurants,1
163,1557871,Barking Dog,Phillipos Restaurant Inc.,1678 3rd Avenue,New York,NY,10128,722110,Full-Service Restaurants,5
164,1557895,Fame Diner,Karpenisi Do-nut Shop Inc,6967 Grand Ave,Maspeth,NY,11378,722110,Full-Service Restaurants,0
165,1558158,Lobster Sushi Corp.,Lobster Sushi Corp.,642 Amsterdam Ave,New York,NY,10025,722110,Full-Service Restaurants,3
167,1558465,Andrews Diner,Yiorgos Restaurant Enterprises,4160 Hylan Blvd.,Staten Island,NY,10308,722110,Full-Service Restaurants,100
168,1558471,Cafe 28,245 Gourmet Food Inc.,245 Fifth Ave,New York,NY,10016,722110,Full-Service Restaurants,15
170,1558996,Tamarind Restaurant,"Rattan, Inc.",41 East 22nd Street,New York,NY,10010,722110,Full-Service Restaurants,74
173,1559577,Abi Sushi Inc,Abi Sushi Inc.,39 East 31 Street,New York,NY,10016,722110,Full-Service Restaurants,2
174,1559650,Aki Sushi,Tian Yu Inc.,1425 York Ave,New York,NY,10021,722110,Full-Service Restaurants,7
177,1561080,Platinum Palace,Punjabi Palace Inc.,271-11 Union Turnpike,New Hyde Park,NY,11040,722110,Full-Service Restaurants,6
178,1561140,Cafe Abbondanza,Y & M 46 Corp.,146 West 46th  Street (betw 6th & 7th),New York,NY,10003,722110,Full-Service Restaurants,13
180,1561367,Nino's Positano #2,301 E 47 Street Corp,890 Second Avenue,New York,NY,10017,722110,Full-Service Restaurants,11
182,1562264,Ammos Restaurant,GCA Group Inc.,52 Vanderbilt Ave,New York,NY,10017,722110,Full-Service Restaurants,51
183,1562281,Le Souk,"47 Ave B East, Inc.",47 Ave B,New York,NY,10009,722110,Full-Service Restaurants,37
187,1563027,Lannam Vietnamese Cuisine,E. 13th Vietmanmese Corp.,121 University Pl.,New York,NY,10003,722110,Full-Service Restaurants,18
189,1563466,AZALEA  RISTORANTE,API RESTAURANT CORP,224 West 51st Street,New York,NY,10019,722110,Full-Service Restaurants,10
190,1563537,Luna Pizza/Restaurant,Old New York Pizza Inc.,225 Park Row,New York,NY,10038,722110,Full-Service Restaurants,8
191,1563840,Saha Thai Cuisine,Saha Thai Cuisine Inc.,227 Centre Street,New York,NY,10014,722110,Full-Service Restaurants,5
197,1567443,W Restaurant,W Restaurant,2812 Ocean Avenue,Brooklyn,NY,11229,722110,Full-Service Restaurants,2
198,1567507,Andrea's Brick Oven Ristorante,307 Third Avenue Rest. Inc.,307 3rd Avenue,New York,NY,10014,722110,Full-Service Restaurants,0
204,1568956,Jerry's Cafe,"Lekker Stuk, LLC",90 Chambers Street,New York,NY,10007,722110,Full-Service Restaurants,34
205,1569313,Angelian Pizza Bar,Tokyo Pop LLC,2728 Broadway,New York,NY,10025,722110,Full-Service Restaurants,18
207,1569837,DINOSAUR  Bar -B- Que,"DINOSAUR RESTORANTS , LLC",646 W. 131st St,New York,NY,10001,722110,Full-Service Restaurants,0
208,1570680,"Little Rest Twelve, INC.",ANJA Bar Restaurant,17 Little West 12th St. Suite 315,New York,NY,10014,722110,Full-Service Restaurants,91
209,1570681,El Rey III Restaurant Bar & Grill,El Rey III Grill 2009 Inc.,457 Bushwick Avenue,Brooklyn,NY,11206,722110,Full-Service Restaurants,0
210,1571362,Ki Sushi,Ikki Japanese Cuisine Inc.,122 Smith St.,Brooklyn,NY,11201,722110,Full-Service Restaurants,7
212,1572202,Cosi,Cosi Inc.,1633 Broadway,New York,NY,10019,722110,Full-Service Restaurants,0
213,1572208,Myung Dong,Shilla Corporation,29-18  Union Street,Flushing,NY,11354,722110,Full-Service Restaurants,10
215,1573396,Brasserie Maison,"Au Cafe, Inc.",1700 Broadway #1,New York,NY,10019,722110,Full-Service Restaurants,61
217,1573778,SIDE  BAR,L M Restaurant Groul Llc,118 E 15th St.,New York,NY,10003,722110,Full-Service Restaurants,84
218,1573894,Good burger,45th Street Burger Corp.,23 West 45th Street,New York,NY,10020,722110,Full-Service Restaurants,0
221,1574591,Chelsea Gourmet Deli,22  Chelsea Farm LLC,234 Eigth Ave.,New York,NY,10011,722110,Full-Service Restaurants,0
222,1574594,Natives II,CCC Magic Corporation,153-33 Hillside Ave.,Jamaica,NY,11432,722110,Full-Service Restaurants,0
224,1575062,"Ji Shiang, Inc.","Ji Shiang, Inc.",136-59 37th Ave. 2nd FL,Flushing,NY,11354,722110,Full-Service Restaurants,4
225,1575781,Pomodoro Rosso,"Flej, Inc.",229 Columbus Avenue,New York,NY,10023,722110,Full-Service Restaurants,9
226,1575782,Bistro Citron [New York],CLUB AMERICA INC,473 Columbus Avenue,New York,NY,10024,722110,Full-Service Restaurants,15
227,1575807,Randall Restaurant,M. Randall Restaurant Corp.,1328 Randall Ave.,Bronx,NY,10474,722110,Full-Service Restaurants,0
228,1575828,Pio Pio Restaurant,Pio Pio Restaurant,8402 + 8413 Northern Blvd.,Jackson Heights,NY,11372,722110,Full-Service Restaurants,0
229,1575929,Baco,Baco Corp.,71 Jay Street,Brooklyn,NY,11201,722110,Full-Service Restaurants,1
233,1576139,Ichi Sushi,Bay Parkway Japanese Cuisine Inc.,8609 Bay Parkway,Brooklyn,NY,11214,722110,Full-Service Restaurants,13
234,1576518,Moca,Moca,78 Reade Street,New York,NY,10007,722110,Full-Service Restaurants,1
235,1576601,Scaletta Restaurant,50/50 Restaurant Corp.,50 W. 77th Street,New York,NY,10023,722110,Full-Service Restaurants,5
238,1578850,Carnegie Delicatessen,Rowab Enterprise LTD.,854 7th Ave @ 55th Street,New York,NY,10019,722110,Full-Service Restaurants,0
244,1581246,McDonald's-Meeker,652 Meeker Food Corp,652 Meeker Avenue,Brooklyn,NY,11222,722110,Full-Service Restaurants,70
245,1581251,McDonald's-Church Ave.,C & N Food Corp.,2848 Church Avenue,Brooklyn,NY,11226,722110,Full-Service Restaurants,61
246,1581258,McDonald's-/Flatbush,"Rob-Roy Enterprises, Inc.",943 Flatbush Avenue,Brooklyn,NY,11226,722110,Full-Service Restaurants,75
247,1581260,Gino's Pizzeria,DAV Corp,1113 Jericho Turnpike,New Hyde Park,NY,11040,722110,Full-Service Restaurants,0
248,1581263,McDonald's-B'way,160 Food Corp.,160 Broadway,New York,NY,10038,722110,Full-Service Restaurants,108
249,1581265,McDonald's-Canal St.,Canal Street Food Corp.,262 Canal Street,New York,NY,10013,722110,Full-Service Restaurants,0
250,1581268,McDonald's-Third Ave.,480 Third Avenue Food Corp.,480 Thrid Avenue,New York,NY,10016,722110,Full-Service Restaurants,0
258,1584498,Noi Due,"Noi Due, Inc",143 West 69th Street,New York,NY,10023,722110,Full-Service Restaurants,23
260,1585212,Globe Coffee Shop,JJK Cafe Corp.,30-86 51th Street,Woodside,NY,11377,722110,Full-Service Restaurants,0
261,1585673,Pollo Loco,El Pollo Loco El Palacio Del Sabor,93-13 Roosevelt Ave,Jackson Heights,NY,11372,722110,Full-Service Restaurants,0
263,1585964,Mee Noodle Shop & Grill,CHAJ Corp.,922 2nd Ave,New York,NY,10017,722110,Full-Service Restaurants,18
267,1587612,La Cabaa de Jarabacoa,La Cabana de Jarabacoa Restaurant.,65-13 Freshpond Road,Ridgewood,NY,11385,722110,Full-Service Restaurants,0
268,1588441,Naya Mezze Grill #2,HRK Foods,1057 Second Avenue,New York,NY,10022,722110,Full-Service Restaurants,11
270,1589912,Sweet Melissa Patisserie,Sweet Melissa Patisserie Inc,276 Court Street,Brooklyn,NY,11231,722110,Full-Service Restaurants,0
272,1592137,Ichi Sushi One,Ichi Sushi One Inc.,2040 86th Street,Brooklyn,NY,11214,722110,Full-Service Restaurants,11
274,1592723,Carmen's Restaurant,Carmen's Restaurant Inc,750 Barclay Ave,Staten Island,NY,10302,722110,Full-Service Restaurants,0
281,1594147,Eataly NY LLC,Eataly NY LLC,"45 East 20th Street, 3rd Floor",New York,NY,10003,722110,Full-Service Restaurants,2
283,1594535,Les Minots Bistro,"Les Minots Bistro, Inc",47-16 30th Avenue,Astoria,NY,11103,722110,Full-Service Restaurants,0
285,1594774,Marseille,Dana's LLC,630  Ninth Ave,New York,NY,10036,722110,Full-Service Restaurants,67
286,1595125,Palatte,Double Dime LLC,66 Madison Avenue,New York,NY,10016,722110,Full-Service Restaurants,1
287,1595153,Campo Restaurant,Campo Restaurant,2888 Broadway,New York,NY,10025,722110,Full-Service Restaurants,1
288,1595159,Campanile,Campanile Inc.,30 East 29th Street,New York,NY,10016,722110,Full-Service Restaurants,3
289,1595335,Maya Taqueria,Dania Food 1 Corp.,637 Vanderbilt Ave.,Brooklyn,NY,11238,722110,Full-Service Restaurants,10
290,1595350,Barrio Restaurant,O-Henry's L. L. C.,210 7th Avenue,Brooklyn,NY,11215,722110,Full-Service Restaurants,1
300,1596992,Giovanni Restaurant,Nisi Food Corp,80 West Fordham Road,Bronx,NY,10468,722110,Full-Service Restaurants,2
301,1597006,"Fabio Piccolo Fiore Restaurant, Inc.",FPF Restaurant Inc,230 E 44th St.,New York,NY,10007,722110,Full-Service Restaurants,64
305,1597766,Bravo Pizza,"BRAVO PIZZA ENTERPRISES,INC",146 5th Ave,New York,NY,10011,722110,Full-Service Restaurants,16
307,1598121,New Hyde Park Diner,XST Corportation,160 Hillside Avenue,New Hyde Park,NY,11040,722110,Full-Service Restaurants,10
310,1599279,Floridian Diner,Nikodemo Operating  Corp,2301 Flatbush Avenue,Brooklyn,NY,11234,722110,Full-Service Restaurants,1
311,1599591,Donovan Restaurant,Donovan's of Bayside LLC,214-16 41st Avenue,Bayside,NY,11361,722110,Full-Service Restaurants,1
312,1599774,Cafe D' Alsace,"L.E. Globe, LLC",1695 2nd Avenue,New York,NY,10128,722110,Full-Service Restaurants,3
315,1600766,Kelso Dining,Kelso Restaurant Inc,648 Franklin Avenue,Brooklyn,NY,11238,722110,Full-Service Restaurants,3
318,1601795,Irene & Barbara Cafe & New Wave Cafe,Irene and Barbara Cafe Inc,2210 Broadway,New York,NY,10024,722110,Full-Service Restaurants,0
319,1601802,Brooklyn Bread Cafe,Brooklyn Pastry Shop LTD,384 5th Avenue,Brooklyn,NY,11215,722110,Full-Service Restaurants,0
320,1601966,Patricia's Pizza and Pasta,"Family Group Enterprises, Inc",35 Broadway,Brooklyn,NY,11211,722110,Full-Service Restaurants,13
321,1602202,Plump Dumpling,Big Dumpling Corporation,174 2nd Avenue,New York,NY,10003,722110,Full-Service Restaurants,2
322,1602439,Asian Bistro,"Asian Bistro, Inc.",70 7th Ave.,New York,NY,10011,722110,Full-Service Restaurants,0
323,1602570,Oasis Restaurant,Karabinis Diner Corp.,2132 Flatbush Avenue,Brooklyn,NY,11234,722110,Full-Service Restaurants,8
324,1602688,French Roast Uptown,"Broadway Desserts, LTD",2340 Broadway,New York,NY,10024,722110,Full-Service Restaurants,3
325,1602689,Le Monde,112 French Inc.,2885 Broadway,New York,NY,10025,722110,Full-Service Restaurants,15
326,1602691,Nice-Matin,"Renolta, LLC",201 W. 79th Street,New York,NY,10024,722110,Full-Service Restaurants,0
327,1602692,Five Napkin Burger,"Donizetti, LLC",2315 Broadway,New York,NY,10024,722110,Full-Service Restaurants,1
328,1602723,Five Napkin Burger (Astoria),"Rigoletto, LLC",35-01 36th St.,Astoria,NY,11106,722110,Full-Service Restaurants,2
329,1602757,Topaz Thai Restaurant,Busaras House Inc.,127 & 129 West 56th Street,New York,NY,10019,722110,Full-Service Restaurants,16
330,1602971,Three Monkeys,"Donegal, Inc.",236 West 54th Street,New York,NY,10019,722110,Full-Service Restaurants,9
332,1603048,Pigalle,"790 French, LLC",790 8th Avenue #2,New York,NY,10019,722110,Full-Service Restaurants,29
334,1603258,French Roast Downtown,"French Roast, Inc.",78 West 11th Street,New York,NY,10011,722110,Full-Service Restaurants,0
335,1603264,L' Express,"Park Cake, Inc.",249 Park Avenue South,New York,NY,10003,722110,Full-Service Restaurants,0
338,1604613,Nizza,Ponente LLC,628 9th Ave.,New York,NY,10036,722110,Full-Service Restaurants,4
340,1605282,9th Avenue Restaurant,VOLO Restaurant,8002 9th Avenue,New York,NY,10019,722110,Full-Service Restaurants,3
341,1605359,Eataly NY LLC,,200 Fifth Avenue,New York,NY,10010,722110,Full-Service Restaurants,3
347,1606294,Five Napkin Burger (Hells Kitchen),"La Scala Restaurant, LLC",630 9th Avenue,New York,NY,10036,722110,Full-Service Restaurants,2
352,1607574,EJ'S LUNCHEONETTE,EJ'S LUNCHEONETTE,1271 3RD AVENUE,New York,NY,10021,722110,Full-Service Restaurants,0
354,1607870,SUBWAY,Subway Restaurant,59 W. 8TH ST,New York,NY,10011,722110,Full-Service Restaurants,2
370,1610794,Water's Edge,Water's Edge,44th Drive,Long Island City,NY,11101,722110,Full-Service Restaurants,1
374,1612836,The Ainsworth Restaurant,"Fondue 26, LLC",122 West 26th Street,New York,NY,10001,722110,Full-Service Restaurants,13
